XTC200 1 0 5.142474447823892e-05 5.142474447823892e-05 128.27372574806213 128.27372574806213 129.49660277366638 13398597 1 {'create_universe_u1': 0.09350776672363281, 'create_universe_u_before_loop': 0.07831120491027832, 'create_universe_u': 26.159099102020264, 'select_atoms': 0.0029439926147460938, 'write_trajectory': 167.8432171344757, 'com_parallel_dask_total': 129.49660277366638, 'client_compute_time': 129.2136468887329, 'calculations_time': 0.043141841888427734} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 1 4.989752286597143e-05 4.989752286597143e-05 126.16817331314087 126.16817331314087 127.34383368492126 13398597 1 {'create_universe_u1': 0.09350776672363281, 'create_universe_u_before_loop': 0.07831120491027832, 'create_universe_u': 27.210767030715942, 'select_atoms': 0.001703500747680664, 'write_trajectory': 167.8432171344757, 'com_parallel_dask_total': 127.34383368492126, 'client_compute_time': 127.087726354599, 'calculations_time': 0.04133009910583496} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 2 5.124628472675536e-05 5.124628472675536e-05 127.54241132736206 127.54241132736206 128.87252736091614 13398597 1 {'create_universe_u1': 0.09350776672363281, 'create_universe_u_before_loop': 0.07831120491027832, 'create_universe_u': 29.764060497283936, 'select_atoms': 0.0016705989837646484, 'write_trajectory': 167.8432171344757, 'com_parallel_dask_total': 128.87252736091614, 'client_compute_time': 128.48090171813965, 'calculations_time': 0.04341554641723633} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 0 5.069563176428642e-05 5.069563176428642e-05 127.39312696456909 127.39312696456909 128.54230880737305 13398597 1 {'create_universe_u1': 0.0947730541229248, 'create_universe_u_before_loop': 0.07891845703125, 'create_universe_u': 25.823241710662842, 'select_atoms': 0.003950834274291992, 'write_trajectory': 166.2632269859314, 'com_parallel_dask_total': 128.54230880737305, 'client_compute_time': 128.28626823425293, 'calculations_time': 0.03886699676513672} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 1 5.243188616823461e-05 5.243188616823461e-05 129.2654676437378 129.2654676437378 130.42066979408264 13398597 1 {'create_universe_u1': 0.0947730541229248, 'create_universe_u_before_loop': 0.07891845703125, 'create_universe_u': 26.751640558242798, 'select_atoms': 0.00140380859375, 'write_trajectory': 166.2632269859314, 'com_parallel_dask_total': 130.42066979408264, 'client_compute_time': 130.16429042816162, 'calculations_time': 0.043233394622802734} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 2 5.127108834482817e-05 5.127108834482817e-05 128.33590483665466 128.33590483665466 129.6451826095581 13398597 1 {'create_universe_u1': 0.0947730541229248, 'create_universe_u_before_loop': 0.07891845703125, 'create_universe_u': 28.828895092010498, 'select_atoms': 0.001657724380493164, 'write_trajectory': 166.2632269859314, 'com_parallel_dask_total': 129.6451826095581, 'client_compute_time': 129.39537858963013, 'calculations_time': 0.04114484786987305} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 0 5.094878508989413e-05 5.094878508989413e-05 129.09954452514648 129.09954452514648 130.29058027267456 13398597 1 {'create_universe_u1': 0.09641790390014648, 'create_universe_u_before_loop': 0.07892274856567383, 'create_universe_u': 26.5871479511261, 'select_atoms': 0.004584789276123047, 'write_trajectory': 165.96611428260803, 'com_parallel_dask_total': 130.29058027267456, 'client_compute_time': 130.02478504180908, 'calculations_time': 0.04357743263244629} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 1 5.1249899156969946e-05 5.1249899156969946e-05 128.77835059165955 128.77835059165955 129.91372203826904 13398597 1 {'create_universe_u1': 0.09641790390014648, 'create_universe_u_before_loop': 0.07892274856567383, 'create_universe_u': 26.71822452545166, 'select_atoms': 0.0019741058349609375, 'write_trajectory': 165.96611428260803, 'com_parallel_dask_total': 129.91372203826904, 'client_compute_time': 129.66271781921387, 'calculations_time': 0.04198098182678223} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 2 5.3328915999845075e-05 5.3328915999845075e-05 132.2310495376587 132.2310495376587 133.48848843574524 13398597 1 {'create_universe_u1': 0.09641790390014648, 'create_universe_u_before_loop': 0.07892274856567383, 'create_universe_u': 29.259096384048462, 'select_atoms': 0.0018901824951171875, 'write_trajectory': 165.96611428260803, 'com_parallel_dask_total': 133.48848843574524, 'client_compute_time': 133.24147701263428, 'calculations_time': 0.036837100982666016} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 0 5.037084154220592e-05 5.037084154220592e-05 126.30748653411865 126.30748653411865 127.47913885116577 13398597 1 {'create_universe_u1': 0.09574604034423828, 'create_universe_u_before_loop': 0.07884740829467773, 'create_universe_u': 26.277111768722534, 'select_atoms': 0.0035207271575927734, 'write_trajectory': 170.80747961997986, 'com_parallel_dask_total': 127.47913885116577, 'client_compute_time': 127.21742796897888, 'calculations_time': 0.04032754898071289} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 1 5.272551769569093e-05 5.272551769569093e-05 133.28678250312805 133.28678250312805 134.52055978775024 13398597 1 {'create_universe_u1': 0.09574604034423828, 'create_universe_u_before_loop': 0.07884740829467773, 'create_universe_u': 27.63848114013672, 'select_atoms': 0.002075672149658203, 'write_trajectory': 170.80747961997986, 'com_parallel_dask_total': 134.52055978775024, 'client_compute_time': 134.2704770565033, 'calculations_time': 0.0405728816986084} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
