XTC200 16 0 0.00023875072484003844 0.00027211777294473366 28.49318665266037 31.962981939315796 35.71373891830444 13398725 1 {'create_universe_u1': 0.09523963928222656, 'create_universe_u_before_loop': 0.07887840270996094, 'create_universe_u': 26.178755044937134, 'select_atoms': 0.0033164024353027344, 'write_trajectory': 168.56445121765137, 'com_parallel_dask_total': 35.71373891830444, 'client_compute_time': 35.457393646240234, 'calculations_time': 0.04018115997314453} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 1 0.0002393025780048463 0.0002628564333504817 28.44012439250946 33.17483949661255 35.60673499107361 13398725 1 {'create_universe_u1': 0.09523963928222656, 'create_universe_u_before_loop': 0.07887840270996094, 'create_universe_u': 28.59891629219055, 'select_atoms': 0.0013623237609863281, 'write_trajectory': 168.56445121765137, 'com_parallel_dask_total': 35.60673499107361, 'client_compute_time': 35.35205674171448, 'calculations_time': 0.04533195495605469} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 2 0.00023513166731072352 0.0002559739953263779 27.81293049454689 29.911254405975342 32.88524556159973 13398725 1 {'create_universe_u1': 0.09523963928222656, 'create_universe_u_before_loop': 0.07887840270996094, 'create_universe_u': 39.65818238258362, 'select_atoms': 0.0019659996032714844, 'write_trajectory': 168.56445121765137, 'com_parallel_dask_total': 32.88524556159973, 'client_compute_time': 32.63911414146423, 'calculations_time': 0.03657031059265137} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 0 0.0002472004271846401 0.00028018327057987967 29.739184692502022 32.826844215393066 36.64154934883118 13398725 1 {'create_universe_u1': 0.10361409187316895, 'create_universe_u_before_loop': 0.07691454887390137, 'create_universe_u': 26.22585701942444, 'select_atoms': 0.0030014514923095703, 'write_trajectory': 172.07266998291016, 'com_parallel_dask_total': 36.64154934883118, 'client_compute_time': 36.3852915763855, 'calculations_time': 0.04191398620605469} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 1 0.00023632603902648043 0.00025653783991438044 27.956211522221565 29.65250301361084 33.33412551879883 13398725 1 {'create_universe_u1': 0.10361409187316895, 'create_universe_u_before_loop': 0.07691454887390137, 'create_universe_u': 28.625291347503662, 'select_atoms': 0.0035102367401123047, 'write_trajectory': 172.07266998291016, 'com_parallel_dask_total': 33.33412551879883, 'client_compute_time': 33.06675982475281, 'calculations_time': 0.043189048767089844} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 2 0.00023927656175837966 0.000257792796816759 28.263809204101562 30.204132795333862 32.533116579055786 13398725 1 {'create_universe_u1': 0.10361409187316895, 'create_universe_u_before_loop': 0.07691454887390137, 'create_universe_u': 39.60186219215393, 'select_atoms': 0.003217458724975586, 'write_trajectory': 172.07266998291016, 'com_parallel_dask_total': 32.533116579055786, 'client_compute_time': 32.29669713973999, 'calculations_time': 0.030134916305541992} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 0 0.0002385986551560991 0.00025162109105468294 27.970892131328583 29.0033700466156 32.75764346122742 13398725 1 {'create_universe_u1': 0.09321403503417969, 'create_universe_u_before_loop': 0.08006525039672852, 'create_universe_u': 26.350705862045288, 'select_atoms': 0.003359079360961914, 'write_trajectory': 168.70885300636292, 'com_parallel_dask_total': 32.75764346122742, 'client_compute_time': 32.498223543167114, 'calculations_time': 0.04077625274658203} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 1 0.0002430111301920585 0.0002550787799809987 28.50656385719776 30.346766471862793 33.07791590690613 13398725 1 {'create_universe_u1': 0.09321403503417969, 'create_universe_u_before_loop': 0.08006525039672852, 'create_universe_u': 30.431368827819824, 'select_atoms': 0.0019359588623046875, 'write_trajectory': 168.70885300636292, 'com_parallel_dask_total': 33.07791590690613, 'client_compute_time': 32.79977202415466, 'calculations_time': 0.04569077491760254} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 2 0.00024308316243601825 0.00026469894550432377 28.672120183706284 32.231929063797 34.286407470703125 13398725 1 {'create_universe_u1': 0.09321403503417969, 'create_universe_u_before_loop': 0.08006525039672852, 'create_universe_u': 40.149574756622314, 'select_atoms': 0.0024275779724121094, 'write_trajectory': 168.70885300636292, 'com_parallel_dask_total': 34.286407470703125, 'client_compute_time': 34.02805256843567, 'calculations_time': 0.038785696029663086} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 0 0.00023858356466263816 0.0002644023093884245 28.506576389074326 32.2157416343689 35.90348172187805 13398725 1 {'create_universe_u1': 0.09446287155151367, 'create_universe_u_before_loop': 0.07594633102416992, 'create_universe_u': 26.231290578842163, 'select_atoms': 0.002979755401611328, 'write_trajectory': 175.69814157485962, 'com_parallel_dask_total': 35.90348172187805, 'client_compute_time': 35.66033434867859, 'calculations_time': 0.027852535247802734} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 1 0.00024318242920128797 0.00028248531862394696 28.845773831009865 33.73966836929321 36.85619378089905 13398725 1 {'create_universe_u1': 0.09446287155151367, 'create_universe_u_before_loop': 0.07594633102416992, 'create_universe_u': 28.568351984024048, 'select_atoms': 0.0019190311431884766, 'write_trajectory': 175.69814157485962, 'com_parallel_dask_total': 36.85619378089905, 'client_compute_time': 36.60425853729248, 'calculations_time': 0.03459525108337402} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 2 0.00024436884611472615 0.0002766064224730041 29.256647512316704 33.79730987548828 36.87609505653381 13398725 1 {'create_universe_u1': 0.09446287155151367, 'create_universe_u_before_loop': 0.07594633102416992, 'create_universe_u': 38.37342834472656, 'select_atoms': 0.0017957687377929688, 'write_trajectory': 175.69814157485962, 'com_parallel_dask_total': 36.87609505653381, 'client_compute_time': 36.63600444793701, 'calculations_time': 0.027637958526611328} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 0 0.0002357904729920034 0.00024139282103822804 27.729481413960457 28.7217857837677 32.38221740722656 13398725 1 {'create_universe_u1': 0.09494328498840332, 'create_universe_u_before_loop': 0.07879972457885742, 'create_universe_u': 26.825452089309692, 'select_atoms': 0.003386259078979492, 'write_trajectory': 168.73255372047424, 'com_parallel_dask_total': 32.38221740722656, 'client_compute_time': 32.119012117385864, 'calculations_time': 0.0404057502746582} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 1 0.00024008981103704674 0.0002489964139944841 27.995532155036926 29.409157276153564 32.15910267829895 13398725 1 {'create_universe_u1': 0.09494328498840332, 'create_universe_u_before_loop': 0.07879972457885742, 'create_universe_u': 30.239316940307617, 'select_atoms': 0.001590728759765625, 'write_trajectory': 168.73255372047424, 'com_parallel_dask_total': 32.15910267829895, 'client_compute_time': 31.771495580673218, 'calculations_time': 0.04305720329284668} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 2 0.00024104423499534655 0.00027062778209782634 28.20945155620575 33.31714940071106 34.62825798988342 13398725 1 {'create_universe_u1': 0.09494328498840332, 'create_universe_u_before_loop': 0.07879972457885742, 'create_universe_u': 40.41912269592285, 'select_atoms': 0.0022575855255126953, 'write_trajectory': 168.73255372047424, 'com_parallel_dask_total': 34.62825798988342, 'client_compute_time': 34.37990140914917, 'calculations_time': 0.03275632858276367} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
