XTC200 1 0 5.0659809187713035e-05 5.0659809187713035e-05 126.34110736846924 126.34110736846924 127.67751836776733 13398597 1 {'create_universe_u1': 0.09671878814697266, 'create_universe_u_before_loop': 0.07928705215454102, 'create_universe_u': 26.374507904052734, 'select_atoms': 0.003136157989501953, 'write_trajectory': 173.0576205253601, 'com_parallel_dask_total': 127.67751836776733, 'client_compute_time': 127.1924638748169, 'calculations_time': 0.06861376762390137} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 1 5.115186738204865e-05 5.115186738204865e-05 126.6559727191925 126.6559727191925 128.0271337032318 13398597 1 {'create_universe_u1': 0.09671878814697266, 'create_universe_u_before_loop': 0.07928705215454102, 'create_universe_u': 26.787465810775757, 'select_atoms': 0.002003192901611328, 'write_trajectory': 173.0576205253601, 'com_parallel_dask_total': 128.0271337032318, 'client_compute_time': 127.55814909934998, 'calculations_time': 0.05545687675476074} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 2 5.087394431920276e-05 5.087394431920276e-05 126.93239569664001 126.93239569664001 128.26091122627258 13398597 1 {'create_universe_u1': 0.09671878814697266, 'create_universe_u_before_loop': 0.07928705215454102, 'create_universe_u': 29.1624174118042, 'select_atoms': 0.002000093460083008, 'write_trajectory': 173.0576205253601, 'com_parallel_dask_total': 128.26091122627258, 'client_compute_time': 127.78552436828613, 'calculations_time': 0.055397987365722656} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 0 5.067071511519391e-05 5.067071511519391e-05 127.88510584831238 127.88510584831238 129.22408437728882 13398597 1 {'create_universe_u1': 0.09670662879943848, 'create_universe_u_before_loop': 0.07930397987365723, 'create_universe_u': 26.534170389175415, 'select_atoms': 0.003038644790649414, 'write_trajectory': 167.8538155555725, 'com_parallel_dask_total': 129.22408437728882, 'client_compute_time': 128.74889135360718, 'calculations_time': 0.06158638000488281} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 1 5.2536476589427916e-05 5.2536476589427916e-05 129.9034686088562 129.9034686088562 131.20676112174988 13398597 1 {'create_universe_u1': 0.09670662879943848, 'create_universe_u_before_loop': 0.07930397987365723, 'create_universe_u': 28.783205032348633, 'select_atoms': 0.0020492076873779297, 'write_trajectory': 167.8538155555725, 'com_parallel_dask_total': 131.20676112174988, 'client_compute_time': 130.74119663238525, 'calculations_time': 0.05277109146118164} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 2 5.437959256934072e-05 5.437959256934072e-05 134.48313975334167 134.48313975334167 135.89283561706543 13398597 1 {'create_universe_u1': 0.09670662879943848, 'create_universe_u_before_loop': 0.07930397987365723, 'create_universe_u': 29.990849256515503, 'select_atoms': 0.0010650157928466797, 'write_trajectory': 167.8538155555725, 'com_parallel_dask_total': 135.89283561706543, 'client_compute_time': 135.3161346912384, 'calculations_time': 0.04325509071350098} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 0 5.010795929222936e-05 5.010795929222936e-05 126.73533225059509 126.73533225059509 128.13237762451172 13398597 1 {'create_universe_u1': 0.09709525108337402, 'create_universe_u_before_loop': 0.07953810691833496, 'create_universe_u': 26.07755970954895, 'select_atoms': 0.0036492347717285156, 'write_trajectory': 168.44104385375977, 'com_parallel_dask_total': 128.13237762451172, 'client_compute_time': 127.64752006530762, 'calculations_time': 0.06966447830200195} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 1 5.250955214499288e-05 5.250955214499288e-05 130.2902204990387 130.2902204990387 131.63790202140808 13398597 1 {'create_universe_u1': 0.09709525108337402, 'create_universe_u_before_loop': 0.07953810691833496, 'create_universe_u': 26.434935808181763, 'select_atoms': 0.0020821094512939453, 'write_trajectory': 168.44104385375977, 'com_parallel_dask_total': 131.63790202140808, 'client_compute_time': 131.15681552886963, 'calculations_time': 0.05888175964355469} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 2 5.074143267372556e-05 5.074143267372556e-05 126.95776057243347 126.95776057243347 128.29260349273682 13398597 1 {'create_universe_u1': 0.09709525108337402, 'create_universe_u_before_loop': 0.07953810691833496, 'create_universe_u': 28.830002307891846, 'select_atoms': 0.0015196800231933594, 'write_trajectory': 168.44104385375977, 'com_parallel_dask_total': 128.29260349273682, 'client_compute_time': 127.82104349136353, 'calculations_time': 0.05425453186035156} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 0 5.084508781305554e-05 5.084508781305554e-05 127.75314784049988 127.75314784049988 129.16171741485596 13398597 1 {'create_universe_u1': 0.09981536865234375, 'create_universe_u_before_loop': 0.08273816108703613, 'create_universe_u': 26.286903858184814, 'select_atoms': 0.0033369064331054688, 'write_trajectory': 173.52049088478088, 'com_parallel_dask_total': 129.16171741485596, 'client_compute_time': 128.67639541625977, 'calculations_time': 0.0676112174987793} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 1 1 5.0631032116463796e-05 5.0631032116463796e-05 125.08907461166382 125.08907461166382 126.4068751335144 13398597 1 {'create_universe_u1': 0.09981536865234375, 'create_universe_u_before_loop': 0.08273816108703613, 'create_universe_u': 28.287917613983154, 'select_atoms': 0.002111196517944336, 'write_trajectory': 173.52049088478088, 'com_parallel_dask_total': 126.4068751335144, 'client_compute_time': 125.93466210365295, 'calculations_time': 0.06159400939941406} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
