XTC200 16 0 0.00023946948308192886 0.00026721050835042055 28.609372347593307 32.00545597076416 34.12624216079712 13398725 1 {'create_universe_u1': 0.09609293937683105, 'create_universe_u_before_loop': 0.07814145088195801, 'create_universe_u': 26.255400896072388, 'select_atoms': 0.003077983856201172, 'write_trajectory': 169.00442481040955, 'com_parallel_dask_total': 34.12624216079712, 'client_compute_time': 33.64600682258606, 'calculations_time': 0.05717349052429199} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 1 0.00023517304651828958 0.00026045064602898916 28.24425360560417 30.70294761657715 35.10373902320862 13398725 1 {'create_universe_u1': 0.09609293937683105, 'create_universe_u_before_loop': 0.07814145088195801, 'create_universe_u': 29.038903951644897, 'select_atoms': 0.0020427703857421875, 'write_trajectory': 169.00442481040955, 'com_parallel_dask_total': 35.10373902320862, 'client_compute_time': 34.492701292037964, 'calculations_time': 0.06656026840209961} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 2 0.00024305756727590198 0.00028612119512220157 28.712054386734962 33.479714155197144 37.318012952804565 13398725 1 {'create_universe_u1': 0.09609293937683105, 'create_universe_u_before_loop': 0.07814145088195801, 'create_universe_u': 39.2952241897583, 'select_atoms': 0.007496833801269531, 'write_trajectory': 169.00442481040955, 'com_parallel_dask_total': 37.318012952804565, 'client_compute_time': 36.78259873390198, 'calculations_time': 0.08278083801269531} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 0 0.0002437113002759753 0.00025296827583264883 29.168549060821533 30.974095821380615 34.3650164604187 13398725 1 {'create_universe_u1': 0.09557533264160156, 'create_universe_u_before_loop': 0.07792782783508301, 'create_universe_u': 26.297362089157104, 'select_atoms': 0.003228902816772461, 'write_trajectory': 168.50974130630493, 'com_parallel_dask_total': 34.3650164604187, 'client_compute_time': 33.89072585105896, 'calculations_time': 0.056559085845947266} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 1 0.00023647245892168637 0.00025816518406093753 28.064241856336594 30.98124861717224 33.2446722984314 13398725 1 {'create_universe_u1': 0.09557533264160156, 'create_universe_u_before_loop': 0.07792782783508301, 'create_universe_u': 29.48453140258789, 'select_atoms': 0.0020508766174316406, 'write_trajectory': 168.50974130630493, 'com_parallel_dask_total': 33.2446722984314, 'client_compute_time': 32.762444734573364, 'calculations_time': 0.050360679626464844} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 2 0.00023642136910414593 0.0002464291891701298 27.93532083928585 29.82760000228882 32.00487923622131 13398725 1 {'create_universe_u1': 0.09557533264160156, 'create_universe_u_before_loop': 0.07792782783508301, 'create_universe_u': 40.16185688972473, 'select_atoms': 0.002205371856689453, 'write_trajectory': 168.50974130630493, 'com_parallel_dask_total': 32.00487923622131, 'client_compute_time': 31.502424001693726, 'calculations_time': 0.06548142433166504} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 0 0.00024042620692903073 0.0002694844224737318 28.69297881424427 32.29159164428711 36.39688467979431 13398725 1 {'create_universe_u1': 0.09679603576660156, 'create_universe_u_before_loop': 0.07923722267150879, 'create_universe_u': 26.175599813461304, 'select_atoms': 0.0031316280364990234, 'write_trajectory': 175.2259237766266, 'com_parallel_dask_total': 36.39688467979431, 'client_compute_time': 35.91765356063843, 'calculations_time': 0.05397844314575195} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 1 0.0002428592222234991 0.0002603349033705419 29.12595571577549 31.185304164886475 34.83161163330078 13398725 1 {'create_universe_u1': 0.09679603576660156, 'create_universe_u_before_loop': 0.07923722267150879, 'create_universe_u': 28.675058841705322, 'select_atoms': 0.002652883529663086, 'write_trajectory': 175.2259237766266, 'com_parallel_dask_total': 34.83161163330078, 'client_compute_time': 34.18266224861145, 'calculations_time': 0.06213688850402832} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 2 0.00024308720475109776 0.0002598334216995003 28.914855867624283 30.88291835784912 35.56258535385132 13398725 1 {'create_universe_u1': 0.09679603576660156, 'create_universe_u_before_loop': 0.07923722267150879, 'create_universe_u': 39.10518956184387, 'select_atoms': 0.002095937728881836, 'write_trajectory': 175.2259237766266, 'com_parallel_dask_total': 35.56258535385132, 'client_compute_time': 35.064642667770386, 'calculations_time': 0.07433581352233887} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 0 0.00024252519170365775 0.0002623711277728023 28.847714006900787 31.180558681488037 35.38051986694336 13398725 1 {'create_universe_u1': 0.1056070327758789, 'create_universe_u_before_loop': 0.07740283012390137, 'create_universe_u': 26.47156596183777, 'select_atoms': 0.0037996768951416016, 'write_trajectory': 173.9392170906067, 'com_parallel_dask_total': 35.38051986694336, 'client_compute_time': 34.899121046066284, 'calculations_time': 0.06196904182434082} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 1 0.00023882192800796557 0.00026040342058266823 28.3946593105793 30.679460525512695 35.072274684906006 13398725 1 {'create_universe_u1': 0.1056070327758789, 'create_universe_u_before_loop': 0.07740283012390137, 'create_universe_u': 28.645586490631104, 'select_atoms': 0.001706838607788086, 'write_trajectory': 173.9392170906067, 'com_parallel_dask_total': 35.072274684906006, 'client_compute_time': 34.43089818954468, 'calculations_time': 0.0609745979309082} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 2 0.00023491468626903747 0.0002413053307399701 27.76775984466076 28.447765350341797 32.347461223602295 13398725 1 {'create_universe_u1': 0.1056070327758789, 'create_universe_u_before_loop': 0.07740283012390137, 'create_universe_u': 40.302809953689575, 'select_atoms': 0.0032193660736083984, 'write_trajectory': 173.9392170906067, 'com_parallel_dask_total': 32.347461223602295, 'client_compute_time': 31.826842069625854, 'calculations_time': 0.06714439392089844} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 0 0.00023921724580972277 0.00027847974254557574 28.70158553123474 32.988476037979126 36.92008018493652 13398725 1 {'create_universe_u1': 0.09884500503540039, 'create_universe_u_before_loop': 0.07913398742675781, 'create_universe_u': 26.477204084396362, 'select_atoms': 0.0035943984985351562, 'write_trajectory': 171.98221635818481, 'com_parallel_dask_total': 36.92008018493652, 'client_compute_time': 36.462992906570435, 'calculations_time': 0.041033029556274414} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 1 0.0002411954849986891 0.00031261816447153515 28.863273307681084 36.3265380859375 38.42444825172424 13398725 1 {'create_universe_u1': 0.09884500503540039, 'create_universe_u_before_loop': 0.07913398742675781, 'create_universe_u': 28.266793727874756, 'select_atoms': 0.00193023681640625, 'write_trajectory': 171.98221635818481, 'com_parallel_dask_total': 38.42444825172424, 'client_compute_time': 37.79093647003174, 'calculations_time': 0.06203031539916992} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 2 0.0002514179332614642 0.0002887574838022202 30.028529211878777 34.8043851852417 38.04590559005737 13398725 1 {'create_universe_u1': 0.09884500503540039, 'create_universe_u_before_loop': 0.07913398742675781, 'create_universe_u': 36.070698261260986, 'select_atoms': 0.0020532608032226562, 'write_trajectory': 171.98221635818481, 'com_parallel_dask_total': 38.04590559005737, 'client_compute_time': 37.54384112358093, 'calculations_time': 0.06409072875976562} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
