XTC200 16 0 0.00024003186596788755 0.00026783144530060504 28.42404454946518 31.4593505859375 35.72808837890625 13398725 1 {'create_universe_u1': 0.0964505672454834, 'create_universe_u_before_loop': 0.07816791534423828, 'create_universe_u': 26.289082288742065, 'select_atoms': 0.002918243408203125, 'write_trajectory': 167.3469123840332, 'com_parallel_dask_total': 35.72808837890625, 'client_compute_time': 35.18539094924927, 'calculations_time': 0.07330989837646484} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 1 0.00023383653381656253 0.0002492175723038731 27.619308844208717 29.430463552474976 32.534571170806885 13398725 1 {'create_universe_u1': 0.0964505672454834, 'create_universe_u_before_loop': 0.07816791534423828, 'create_universe_u': 28.714415788650513, 'select_atoms': 0.002332925796508789, 'write_trajectory': 167.3469123840332, 'com_parallel_dask_total': 32.534571170806885, 'client_compute_time': 31.97647261619568, 'calculations_time': 0.1183023452758789} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 2 0.000241865438506912 0.00026188800876927485 28.633690237998962 31.096785306930542 34.228474855422974 13398725 1 {'create_universe_u1': 0.0964505672454834, 'create_universe_u_before_loop': 0.07816791534423828, 'create_universe_u': 39.62587904930115, 'select_atoms': 0.0030066967010498047, 'write_trajectory': 167.3469123840332, 'com_parallel_dask_total': 34.228474855422974, 'client_compute_time': 33.603294134140015, 'calculations_time': 0.12452888488769531} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 0 0.00023835115318354097 0.00025034482416504773 28.448826104402542 30.01337480545044 34.48019027709961 13398725 1 {'create_universe_u1': 0.09705758094787598, 'create_universe_u_before_loop': 0.10366511344909668, 'create_universe_u': 26.715996265411377, 'select_atoms': 0.0031707286834716797, 'write_trajectory': 177.10098600387573, 'com_parallel_dask_total': 34.48019027709961, 'client_compute_time': 33.98332476615906, 'calculations_time': 0.07728385925292969} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 1 0.00023786996024435455 0.00025142950160533724 28.225681573152542 30.62312912940979 33.909958600997925 13398725 1 {'create_universe_u1': 0.09705758094787598, 'create_universe_u_before_loop': 0.10366511344909668, 'create_universe_u': 28.997042417526245, 'select_atoms': 0.0038843154907226562, 'write_trajectory': 177.10098600387573, 'com_parallel_dask_total': 33.909958600997925, 'client_compute_time': 33.40272378921509, 'calculations_time': 0.08322358131408691} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 2 0.00024334884030621507 0.000258904255235048 28.893352061510086 31.243914365768433 34.472877502441406 13398725 1 {'create_universe_u1': 0.09705758094787598, 'create_universe_u_before_loop': 0.10366511344909668, 'create_universe_u': 39.58590531349182, 'select_atoms': 0.002480745315551758, 'write_trajectory': 177.10098600387573, 'com_parallel_dask_total': 34.472877502441406, 'client_compute_time': 33.935521841049194, 'calculations_time': 0.08587145805358887} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 0 0.00023675829825828965 0.00026245542020636285 28.25114479660988 31.59485411643982 35.96084547042847 13398725 1 {'create_universe_u1': 0.09583210945129395, 'create_universe_u_before_loop': 0.08003544807434082, 'create_universe_u': 26.993366718292236, 'select_atoms': 0.0028464794158935547, 'write_trajectory': 178.04716086387634, 'com_parallel_dask_total': 35.96084547042847, 'client_compute_time': 35.41892695426941, 'calculations_time': 0.0719912052154541} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 1 0.00023549936509359242 0.0002792001139553236 27.97378472983837 33.92514896392822 37.59485149383545 13398725 1 {'create_universe_u1': 0.09583210945129395, 'create_universe_u_before_loop': 0.08003544807434082, 'create_universe_u': 27.60588550567627, 'select_atoms': 0.0017480850219726562, 'write_trajectory': 178.04716086387634, 'com_parallel_dask_total': 37.59485149383545, 'client_compute_time': 37.01071333885193, 'calculations_time': 0.11248064041137695} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 2 0.0002394937984698038 0.00026435240538876735 28.840207621455193 32.089364767074585 34.53994393348694 13398725 1 {'create_universe_u1': 0.09583210945129395, 'create_universe_u_before_loop': 0.08003544807434082, 'create_universe_u': 38.83100748062134, 'select_atoms': 0.0017817020416259766, 'write_trajectory': 178.04716086387634, 'com_parallel_dask_total': 34.53994393348694, 'client_compute_time': 33.97874474525452, 'calculations_time': 0.08887696266174316} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 0 0.00024809537746484545 0.00027446433143888315 29.868431761860847 33.140523195266724 37.50301504135132 13398725 1 {'create_universe_u1': 0.09518933296203613, 'create_universe_u_before_loop': 0.1010582447052002, 'create_universe_u': 26.323268175125122, 'select_atoms': 0.003941774368286133, 'write_trajectory': 175.075430393219, 'com_parallel_dask_total': 37.50301504135132, 'client_compute_time': 36.97802400588989, 'calculations_time': 0.07317352294921875} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 1 0.0002450481626017985 0.0002691072520985957 29.339669808745384 32.40297532081604 36.746355056762695 13398725 1 {'create_universe_u1': 0.09518933296203613, 'create_universe_u_before_loop': 0.1010582447052002, 'create_universe_u': 29.822052717208862, 'select_atoms': 0.002511262893676758, 'write_trajectory': 175.075430393219, 'com_parallel_dask_total': 36.746355056762695, 'client_compute_time': 36.209909200668335, 'calculations_time': 0.08011388778686523} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 2 0.00024279072294811392 0.00026582695355572596 29.044372260570526 31.737411975860596 35.83067536354065 13398725 1 {'create_universe_u1': 0.09518933296203613, 'create_universe_u_before_loop': 0.1010582447052002, 'create_universe_u': 36.03727602958679, 'select_atoms': 0.003176450729370117, 'write_trajectory': 175.075430393219, 'com_parallel_dask_total': 35.83067536354065, 'client_compute_time': 35.276893854141235, 'calculations_time': 0.08005762100219727} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
XTC200 16 0 0.00023837362336476497 0.00024534368265380764 28.16474613547325 29.118315935134888 33.47011160850525 13398725 1 {'create_universe_u1': 0.09435415267944336, 'create_universe_u_before_loop': 0.09883666038513184, 'create_universe_u': 26.308098793029785, 'select_atoms': 0.0027163028717041016, 'write_trajectory': 178.2737717628479, 'com_parallel_dask_total': 33.47011160850525, 'client_compute_time': 32.97631311416626, 'calculations_time': 0.06423592567443848} {'ag': 1716619, 'ref0': 1742180, 'blocks_size': 1}
